Mois;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
1;9;3;6;3;6;3;8;5;21;10;20;44;44;73;102;83;52;47;35;25;18;13;11;3
2;14;2;9;5;6;5;4;5;8;14;47;63;64;110;167;165;107;59;56;37;17;21;13;6
3;16;12;4;3;7;5;5;5;12;24;68;105;160;178;278;199;149;94;80;66;27;20;22;13
4;10;4;3;4;1;0;7;11;10;10;33;49;74;113;153;158;126;96;74;46;31;22;21;10
5;13;5;6;2;2;2;4;6;6;10;24;49;55;82;106;88;84;71;66;55;26;19;14;14
6;21;12;13;4;6;12;3;12;15;19;36;54;78;109;117;133;117;132;88;63;42;40;31;27
7;63;41;35;25;28;26;28;10;33;38;86;129;131;252;307;316;285;260;170;120;99;87;99;72
8;64;44;55;40;32;20;25;27;41;61;91;139;172;203;290;305;330;282;193;143;116;105;81;77
9;13;24;15;15;13;11;9;11;10;33;47;56;59;123;135;139;127;116;70;53;48;30;37;27
10;11;4;8;4;1;5;5;13;9;17;22;37;56;105;97;98;68;54;31;29;12;17;14;11
11;10;6;4;2;2;5;8;8;13;13;20;41;43;51;82;68;44;40;36;18;12;7;15;9
12;4;5;2;1;3;3;5;11;12;15;10;29;29;32;42;32;23;48;27;17;9;8;7;5
